respondent_id,year,org_encouragement,org_preparedness,policy_suits_me,choice_autonomy
2020_75,2020,Somewhat disagree,Somewhat disagree,,
2020_76,2020,Neither agree nor disagree,Somewhat agree,,
2020_77,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_78,2020,Somewhat agree,Somewhat agree,,
2020_79,2020,Neither agree nor disagree,Strongly agree,,
2020_80,2020,Strongly agree,Strongly agree,,
2020_81,2020,Strongly disagree,Strongly agree,,
2020_82,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_83,2020,Somewhat disagree,Somewhat disagree,,
2020_84,2020,Neither agree nor disagree,Somewhat agree,,
2020_85,2020,Somewhat disagree,Strongly agree,,
2020_86,2020,Neither agree nor disagree,Somewhat disagree,,
2020_87,2020,Strongly disagree,Somewhat disagree,,
2020_88,2020,,,,
2020_89,2020,Somewhat agree,Strongly agree,,
2020_90,2020,Neither agree nor disagree,Strongly agree,,
2020_91,2020,Somewhat agree,Somewhat agree,,
2020_92,2020,Somewhat agree,Somewhat agree,,
2020_93,2020,Strongly disagree,Somewhat agree,,
2020_94,2020,Somewhat disagree,Somewhat disagree,,
2020_95,2020,,,,
2020_96,2020,Somewhat agree,Somewhat agree,,
2020_97,2020,Strongly agree,Strongly agree,,
2020_98,2020,,,,
2020_99,2020,Strongly disagree,Somewhat agree,,
2020_100,2020,Somewhat agree,Somewhat agree,,
2020_101,2020,Neither agree nor disagree,Somewhat agree,,
2020_102,2020,Strongly agree,Strongly agree,,
2020_103,2020,Somewhat agree,Strongly agree,,
2020_104,2020,Neither agree nor disagree,Strongly agree,,
2020_105,2020,Somewhat disagree,Strongly agree,,
2020_106,2020,Strongly agree,Strongly agree,,
2020_107,2020,Neither agree nor disagree,Strongly agree,,
2020_108,2020,Neither agree nor disagree,Strongly agree,,
2020_109,2020,Strongly disagree,Somewhat disagree,,
2020_110,2020,Somewhat agree,Somewhat agree,,
2020_111,2020,,,,
2020_112,2020,Somewhat agree,Somewhat agree,,
2020_113,2020,Somewhat agree,Strongly agree,,
2020_114,2020,Strongly disagree,Somewhat agree,,
2020_115,2020,Somewhat agree,Strongly agree,,
2020_116,2020,Somewhat agree,Strongly agree,,
2020_117,2020,Strongly agree,Somewhat agree,,
2020_118,2020,Somewhat disagree,Somewhat agree,,
2020_119,2020,Strongly agree,Strongly agree,,
2020_120,2020,Strongly agree,Strongly agree,,
2020_121,2020,Neither agree nor disagree,Strongly agree,,
2020_122,2020,Neither agree nor disagree,Somewhat disagree,,
2020_123,2020,Strongly disagree,Somewhat disagree,,
2020_124,2020,Somewhat agree,Somewhat agree,,
2020_125,2020,Somewhat disagree,Strongly disagree,,
2020_126,2020,Somewhat agree,Strongly agree,,
2020_127,2020,Strongly agree,Strongly agree,,
2020_128,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_129,2020,Somewhat agree,Somewhat agree,,
2020_130,2020,Strongly agree,Strongly agree,,
2020_131,2020,Strongly agree,Somewhat disagree,,
2020_132,2020,Somewhat agree,Strongly agree,,
2020_133,2020,Strongly disagree,Strongly disagree,,
2020_134,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_135,2020,Somewhat disagree,Strongly agree,,
2020_136,2020,Neither agree nor disagree,Somewhat agree,,
2020_137,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_138,2020,Neither agree nor disagree,Somewhat agree,,
2020_139,2020,,,,
2020_140,2020,Somewhat agree,Somewhat agree,,
2020_141,2020,Somewhat agree,Strongly agree,,
2020_142,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_143,2020,Neither agree nor disagree,Somewhat agree,,
2020_144,2020,Neither agree nor disagree,Strongly agree,,
2020_145,2020,Neither agree nor disagree,Strongly agree,,
2020_146,2020,Strongly disagree,Strongly agree,,
2020_147,2020,Somewhat disagree,Neither agree nor disagree,,
2020_148,2020,Strongly disagree,Strongly disagree,,
2020_149,2020,Somewhat agree,Strongly agree,,
2020_150,2020,Somewhat agree,Somewhat agree,,
2020_151,2020,Strongly agree,Strongly agree,,
2020_152,2020,Neither agree nor disagree,Somewhat agree,,
2020_153,2020,,,,
2020_154,2020,Somewhat disagree,Neither agree nor disagree,,
2020_155,2020,Strongly disagree,Somewhat disagree,,
2020_156,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_157,2020,Somewhat agree,Somewhat agree,,
2020_158,2020,Somewhat agree,Somewhat agree,,
2020_159,2020,Strongly agree,Somewhat agree,,
2020_160,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_161,2020,,,,
2020_162,2020,Somewhat agree,Somewhat agree,,
2020_163,2020,Somewhat agree,Strongly agree,,
2020_164,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_165,2020,Somewhat agree,Somewhat agree,,
2020_166,2020,Somewhat disagree,Somewhat disagree,,
2020_167,2020,,,,
2020_168,2020,Strongly agree,Strongly agree,,
2020_169,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_170,2020,Somewhat disagree,Somewhat disagree,,
2020_171,2020,Somewhat agree,Somewhat agree,,
2020_172,2020,Strongly disagree,Strongly disagree,,
2020_173,2020,Somewhat disagree,Somewhat disagree,,
2020_174,2020,Strongly disagree,Somewhat disagree,,
2020_175,2020,Strongly agree,Strongly agree,,
2020_176,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_177,2020,Neither agree nor disagree,Somewhat agree,,
2020_178,2020,Somewhat agree,Strongly agree,,
2020_179,2020,Strongly agree,Strongly agree,,
2020_180,2020,Somewhat disagree,Strongly agree,,
2020_181,2020,Neither agree nor disagree,Strongly agree,,
2020_182,2020,,,,
2020_183,2020,Strongly agree,Strongly agree,,
2020_184,2020,Neither agree nor disagree,Strongly agree,,
2020_185,2020,Somewhat agree,Somewhat agree,,
2020_186,2020,Neither agree nor disagree,Somewhat agree,,
2020_187,2020,,,,
2020_188,2020,,,,
2020_189,2020,Neither agree nor disagree,Strongly agree,,
2020_190,2020,Strongly agree,Somewhat agree,,
2020_191,2020,Somewhat agree,Somewhat disagree,,
2020_192,2020,Strongly agree,Strongly agree,,
2020_193,2020,Strongly agree,Strongly agree,,
2020_194,2020,Strongly disagree,Strongly agree,,
2020_195,2020,,,,
2020_196,2020,Somewhat disagree,Neither agree nor disagree,,
2020_197,2020,,,,
2020_198,2020,Somewhat agree,Strongly agree,,
2020_199,2020,,,,
2020_200,2020,Neither agree nor disagree,Somewhat agree,,
2020_201,2020,,,,
2020_202,2020,Somewhat agree,Somewhat agree,,
2020_203,2020,Somewhat agree,Somewhat agree,,
2020_204,2020,,,,
2020_205,2020,Somewhat agree,Somewhat agree,,
2020_206,2020,Strongly disagree,Strongly disagree,,
2020_207,2020,Strongly agree,Somewhat agree,,
2020_208,2020,Somewhat agree,Somewhat agree,,
2020_209,2020,,,,
2020_210,2020,Strongly agree,Strongly agree,,
2020_211,2020,Neither agree nor disagree,Strongly agree,,
2020_212,2020,Somewhat disagree,Neither agree nor disagree,,
2020_213,2020,Somewhat agree,Somewhat agree,,
2020_214,2020,,,,
2020_215,2020,,,,
2020_216,2020,Somewhat agree,Somewhat agree,,
2020_217,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_218,2020,Neither agree nor disagree,Somewhat agree,,
2020_219,2020,Strongly disagree,Somewhat agree,,
2020_220,2020,Somewhat disagree,Somewhat disagree,,
2020_221,2020,Somewhat agree,Somewhat agree,,
2020_222,2020,,,,
2020_223,2020,Somewhat agree,Strongly agree,,
2020_224,2020,Somewhat agree,Strongly agree,,
2020_225,2020,Somewhat disagree,Somewhat agree,,
2020_226,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_227,2020,Neither agree nor disagree,Strongly agree,,
2020_228,2020,Strongly disagree,Somewhat disagree,,
2020_229,2020,Strongly agree,Strongly agree,,
2020_230,2020,Somewhat disagree,Somewhat disagree,,
2020_231,2020,Strongly agree,Somewhat agree,,
2020_232,2020,Strongly disagree,Strongly disagree,,
2020_233,2020,Neither agree nor disagree,Strongly agree,,
2020_234,2020,,,,
2020_235,2020,Somewhat agree,Somewhat agree,,
2020_236,2020,Somewhat agree,Neither agree nor disagree,,
2020_237,2020,Somewhat agree,Somewhat agree,,
2020_238,2020,Somewhat agree,Neither agree nor disagree,,
2020_239,2020,Somewhat agree,Somewhat agree,,
2020_240,2020,Somewhat agree,Somewhat agree,,
2020_241,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_242,2020,Neither agree nor disagree,Strongly agree,,
2020_243,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_244,2020,Somewhat agree,Somewhat agree,,
2020_245,2020,,,,
2020_246,2020,Neither agree nor disagree,Somewhat agree,,
2020_247,2020,,,,
2020_248,2020,Neither agree nor disagree,Somewhat agree,,
2020_249,2020,,,,
2020_250,2020,Somewhat agree,Strongly agree,,
2020_251,2020,Somewhat disagree,Somewhat agree,,
2020_252,2020,Somewhat agree,Somewhat agree,,
2020_253,2020,Strongly agree,Strongly agree,,
2020_254,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_255,2020,Strongly agree,Somewhat agree,,
2020_256,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_257,2020,Strongly agree,Strongly agree,,
2020_258,2020,Neither agree nor disagree,Somewhat agree,,
2020_259,2020,Neither agree nor disagree,Somewhat agree,,
2020_260,2020,,,,
2020_261,2020,Somewhat agree,Somewhat agree,,
2020_262,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_263,2020,Strongly agree,Strongly agree,,
2020_264,2020,Somewhat agree,Somewhat agree,,
2020_265,2020,Somewhat disagree,Somewhat agree,,
2020_266,2020,,,,
2020_267,2020,Somewhat agree,Somewhat agree,,
2020_268,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_269,2020,,,,
2020_270,2020,Neither agree nor disagree,Somewhat agree,,
2020_271,2020,,,,
2020_272,2020,Somewhat disagree,Somewhat agree,,
2020_273,2020,Somewhat disagree,Strongly disagree,,
2020_274,2020,Neither agree nor disagree,Somewhat agree,,
2020_275,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_276,2020,Neither agree nor disagree,Somewhat agree,,
2020_277,2020,Somewhat disagree,Somewhat disagree,,
2020_278,2020,Strongly disagree,Somewhat agree,,
2020_279,2020,,,,
2020_280,2020,Strongly agree,Strongly agree,,
2020_281,2020,Somewhat disagree,Strongly agree,,
2020_282,2020,Neither agree nor disagree,Somewhat agree,,
2020_283,2020,Somewhat agree,Strongly agree,,
2020_284,2020,,,,
2020_285,2020,Neither agree nor disagree,Somewhat agree,,
2020_286,2020,Strongly agree,Somewhat agree,,
2020_287,2020,Strongly disagree,Neither agree nor disagree,,
2020_288,2020,Neither agree nor disagree,Strongly disagree,,
2020_289,2020,Somewhat agree,Strongly disagree,,
2020_290,2020,Neither agree nor disagree,Strongly agree,,
2020_291,2020,Somewhat disagree,Somewhat agree,,
2020_292,2020,,,,
2020_293,2020,Somewhat agree,Neither agree nor disagree,,
2020_294,2020,,,,
2020_295,2020,Strongly agree,Strongly agree,,
2020_296,2020,Somewhat agree,Strongly agree,,
2020_297,2020,Strongly disagree,Neither agree nor disagree,,
2020_298,2020,Somewhat disagree,Neither agree nor disagree,,
2020_299,2020,Somewhat agree,Somewhat agree,,
2020_300,2020,,,,
2020_301,2020,Neither agree nor disagree,Strongly disagree,,
2020_302,2020,,,,
2020_303,2020,Somewhat agree,Somewhat agree,,
2020_304,2020,Strongly agree,Strongly agree,,
2020_305,2020,Somewhat disagree,Somewhat agree,,
2020_306,2020,Neither agree nor disagree,Strongly agree,,
2020_307,2020,Strongly agree,Strongly agree,,
2020_308,2020,Neither agree nor disagree,Somewhat disagree,,
2020_309,2020,Somewhat agree,Somewhat disagree,,
2020_310,2020,Strongly disagree,Somewhat disagree,,
2020_311,2020,Somewhat agree,Somewhat disagree,,
2020_312,2020,Neither agree nor disagree,Somewhat agree,,
2020_313,2020,Strongly agree,Strongly agree,,
2020_314,2020,,,,
2020_315,2020,,,,
2020_316,2020,Somewhat agree,Strongly agree,,
2020_317,2020,Somewhat agree,Somewhat disagree,,
2020_318,2020,Neither agree nor disagree,Somewhat agree,,
2020_319,2020,Somewhat disagree,Somewhat agree,,
2020_320,2020,Strongly agree,Strongly agree,,
2020_321,2020,Neither agree nor disagree,Strongly disagree,,
2020_322,2020,,,,
2020_323,2020,Neither agree nor disagree,Somewhat agree,,
2020_324,2020,Neither agree nor disagree,Somewhat agree,,
2020_325,2020,Somewhat disagree,Strongly agree,,
2020_326,2020,,,,
2020_327,2020,Strongly agree,Strongly agree,,
2020_328,2020,Strongly disagree,Neither agree nor disagree,,
2020_329,2020,,,,
2020_330,2020,,,,
2020_331,2020,Somewhat disagree,Somewhat disagree,,
2020_332,2020,,,,
2020_333,2020,,,,
2020_334,2020,,,,
2020_335,2020,Neither agree nor disagree,Somewhat disagree,,
2020_336,2020,Somewhat agree,Somewhat agree,,
2020_337,2020,Neither agree nor disagree,Somewhat agree,,
2020_338,2020,Somewhat disagree,Somewhat agree,,
2020_339,2020,Somewhat agree,Strongly agree,,
2020_340,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_341,2020,Somewhat agree,Strongly agree,,
2020_342,2020,Strongly agree,Strongly agree,,
2020_343,2020,Somewhat agree,Somewhat agree,,
2020_344,2020,Somewhat disagree,Somewhat disagree,,
2020_345,2020,Somewhat agree,Strongly agree,,
2020_346,2020,Somewhat agree,Strongly agree,,
2020_347,2020,Neither agree nor disagree,Somewhat agree,,
2020_348,2020,Somewhat agree,Somewhat agree,,
2020_349,2020,Somewhat agree,Neither agree nor disagree,,
2020_350,2020,Somewhat agree,Neither agree nor disagree,,
2020_351,2020,,,,
2020_352,2020,Somewhat agree,Somewhat agree,,
2020_353,2020,Neither agree nor disagree,Somewhat agree,,
2020_354,2020,Neither agree nor disagree,Somewhat agree,,
2020_355,2020,Strongly disagree,Somewhat agree,,
2020_356,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_357,2020,Somewhat agree,Somewhat agree,,
2020_358,2020,Somewhat agree,Strongly agree,,
2020_359,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_360,2020,Neither agree nor disagree,Strongly disagree,,
2020_361,2020,Somewhat disagree,Neither agree nor disagree,,
2020_362,2020,Somewhat agree,Somewhat agree,,
2020_363,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_364,2020,Strongly agree,Strongly agree,,
2020_365,2020,Somewhat agree,Somewhat agree,,
2020_366,2020,Neither agree nor disagree,Somewhat agree,,
2020_367,2020,Somewhat agree,Somewhat agree,,
2020_368,2020,Strongly agree,Strongly agree,,
2020_369,2020,Somewhat agree,Somewhat agree,,
2020_370,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_371,2020,Neither agree nor disagree,Strongly agree,,
2020_372,2020,Strongly agree,Strongly agree,,
2020_373,2020,,,,
2020_374,2020,,,,
2020_375,2020,,,,
2020_376,2020,Neither agree nor disagree,Somewhat agree,,
2020_377,2020,Somewhat agree,Somewhat agree,,
2020_378,2020,Somewhat agree,Somewhat agree,,
2020_379,2020,Somewhat disagree,Neither agree nor disagree,,
2020_380,2020,Somewhat agree,Somewhat disagree,,
2020_381,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_382,2020,Strongly disagree,Strongly disagree,,
2020_383,2020,Neither agree nor disagree,Somewhat agree,,
2020_384,2020,Strongly agree,Strongly agree,,
2020_385,2020,Somewhat disagree,Somewhat agree,,
2020_386,2020,Strongly agree,Strongly agree,,
2020_387,2020,,,,
2020_388,2020,Somewhat agree,Somewhat agree,,
2020_389,2020,,,,
2020_390,2020,Somewhat agree,Somewhat agree,,
2020_391,2020,Somewhat disagree,Somewhat disagree,,
2020_392,2020,,,,
2020_393,2020,Somewhat agree,Somewhat agree,,
2020_394,2020,Somewhat agree,Strongly agree,,
2020_395,2020,Somewhat agree,Strongly agree,,
2020_396,2020,Strongly agree,Strongly agree,,
2020_397,2020,Neither agree nor disagree,Somewhat disagree,,
2020_398,2020,,,,
2020_399,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_400,2020,Strongly agree,Strongly agree,,
2020_401,2020,Somewhat agree,Neither agree nor disagree,,
2020_402,2020,Somewhat disagree,Somewhat disagree,,
2020_403,2020,Somewhat agree,Somewhat agree,,
2020_404,2020,Somewhat disagree,Somewhat agree,,
2020_405,2020,Strongly agree,Strongly agree,,
2020_406,2020,,,,
2020_407,2020,Strongly disagree,Strongly disagree,,
2020_408,2020,Somewhat agree,Neither agree nor disagree,,
2020_409,2020,Somewhat agree,Somewhat disagree,,
2020_410,2020,Neither agree nor disagree,Somewhat agree,,
2020_411,2020,Somewhat agree,Strongly agree,,
2020_412,2020,Somewhat disagree,Strongly agree,,
2020_413,2020,Strongly disagree,Somewhat agree,,
2020_414,2020,Neither agree nor disagree,Strongly agree,,
2020_415,2020,Neither agree nor disagree,Somewhat agree,,
2020_416,2020,Neither agree nor disagree,Somewhat agree,,
2020_417,2020,Somewhat agree,Neither agree nor disagree,,
2020_418,2020,,,,
2020_419,2020,Neither agree nor disagree,Somewhat agree,,
2020_420,2020,Somewhat disagree,Strongly disagree,,
2020_421,2020,Somewhat disagree,Neither agree nor disagree,,
2020_422,2020,Somewhat disagree,Strongly disagree,,
2020_423,2020,Strongly agree,Strongly agree,,
2020_424,2020,Strongly disagree,Somewhat agree,,
2020_425,2020,Somewhat disagree,Neither agree nor disagree,,
2020_426,2020,Strongly disagree,Somewhat agree,,
2020_427,2020,Strongly disagree,Somewhat disagree,,
2020_428,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_429,2020,Strongly agree,Strongly agree,,
2020_430,2020,Strongly agree,Strongly agree,,
2020_431,2020,Somewhat agree,Somewhat agree,,
2020_432,2020,Somewhat agree,Somewhat agree,,
2020_433,2020,Neither agree nor disagree,Somewhat agree,,
2020_434,2020,,,,
2020_435,2020,Strongly disagree,Somewhat disagree,,
2020_436,2020,,,,
2020_437,2020,,,,
2020_438,2020,Strongly agree,Strongly agree,,
2020_439,2020,Strongly agree,Strongly agree,,
2020_440,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_441,2020,Strongly agree,Somewhat agree,,
2020_442,2020,Somewhat agree,Strongly agree,,
2020_443,2020,Somewhat agree,Strongly agree,,
2020_444,2020,Neither agree nor disagree,Strongly agree,,
2020_445,2020,Strongly disagree,Somewhat disagree,,
2020_446,2020,Somewhat disagree,Somewhat agree,,
2020_447,2020,Strongly disagree,Neither agree nor disagree,,
2020_448,2020,Somewhat disagree,Somewhat disagree,,
2020_449,2020,,,,
2020_450,2020,Strongly agree,Strongly agree,,
2020_451,2020,Neither agree nor disagree,Somewhat agree,,
2020_452,2020,Strongly disagree,Somewhat agree,,
2020_453,2020,Somewhat agree,Somewhat agree,,
2020_454,2020,,,,
2020_455,2020,Somewhat agree,Somewhat agree,,
2020_456,2020,Neither agree nor disagree,Somewhat agree,,
2020_457,2020,Strongly agree,Somewhat agree,,
2020_458,2020,,,,
2020_459,2020,Somewhat agree,Neither agree nor disagree,,
2020_460,2020,Somewhat disagree,Strongly agree,,
2020_461,2020,,,,
2020_462,2020,Somewhat agree,Neither agree nor disagree,,
2020_463,2020,Somewhat disagree,Somewhat agree,,
2020_464,2020,Somewhat agree,Strongly agree,,
2020_465,2020,Strongly agree,Strongly agree,,
2020_466,2020,Strongly agree,Strongly agree,,
2020_467,2020,Somewhat agree,Neither agree nor disagree,,
2020_468,2020,Somewhat disagree,Somewhat disagree,,
2020_469,2020,Somewhat disagree,Somewhat agree,,
2020_470,2020,Strongly agree,Somewhat disagree,,
2020_471,2020,,,,
2020_472,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_473,2020,Strongly agree,Strongly agree,,
2020_474,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_475,2020,Somewhat disagree,Somewhat disagree,,
2020_476,2020,Somewhat disagree,Somewhat agree,,
2020_477,2020,Somewhat agree,Somewhat agree,,
2020_478,2020,Strongly disagree,Somewhat disagree,,
2020_479,2020,,,,
2020_480,2020,Strongly disagree,Somewhat disagree,,
2020_481,2020,Somewhat agree,Strongly agree,,
2020_482,2020,Somewhat disagree,Somewhat agree,,
2020_483,2020,,,,
2020_484,2020,Strongly agree,Somewhat agree,,
2020_485,2020,Somewhat agree,Somewhat disagree,,
2020_486,2020,Somewhat agree,Somewhat agree,,
2020_487,2020,Somewhat disagree,Somewhat disagree,,
2020_488,2020,Somewhat disagree,Neither agree nor disagree,,
2020_489,2020,Somewhat agree,Somewhat agree,,
2020_490,2020,Neither agree nor disagree,Somewhat agree,,
2020_491,2020,Neither agree nor disagree,Somewhat agree,,
2020_492,2020,Somewhat agree,Somewhat agree,,
2020_493,2020,Somewhat agree,Somewhat disagree,,
2020_494,2020,Somewhat agree,Somewhat disagree,,
2020_495,2020,Strongly agree,Strongly agree,,
2020_496,2020,,,,
2020_497,2020,Neither agree nor disagree,Strongly agree,,
2020_498,2020,Somewhat agree,Somewhat agree,,
2020_499,2020,Strongly agree,Somewhat agree,,
2020_500,2020,,,,
2020_501,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_502,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_503,2020,Somewhat disagree,Strongly disagree,,
2020_504,2020,Somewhat disagree,Somewhat disagree,,
2020_505,2020,Strongly agree,Strongly agree,,
2020_506,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_507,2020,Somewhat disagree,Neither agree nor disagree,,
2020_508,2020,,,,
2020_509,2020,Neither agree nor disagree,Strongly agree,,
2020_510,2020,Strongly disagree,Somewhat agree,,
2020_511,2020,Strongly agree,Strongly agree,,
2020_512,2020,Neither agree nor disagree,Somewhat disagree,,
2020_513,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_514,2020,Strongly disagree,Strongly disagree,,
2020_515,2020,Neither agree nor disagree,Strongly agree,,
2020_516,2020,Somewhat disagree,Somewhat agree,,
2020_517,2020,Somewhat agree,Neither agree nor disagree,,
2020_518,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_519,2020,Somewhat agree,Neither agree nor disagree,,
2020_520,2020,Strongly agree,Strongly agree,,
2020_521,2020,Strongly disagree,Strongly disagree,,
2020_522,2020,Strongly disagree,Neither agree nor disagree,,
2020_523,2020,Strongly agree,Strongly agree,,
2020_524,2020,Somewhat disagree,Somewhat agree,,
2020_525,2020,,,,
2020_526,2020,Somewhat agree,Neither agree nor disagree,,
2020_527,2020,Somewhat agree,Somewhat agree,,
2020_528,2020,Strongly disagree,Strongly disagree,,
2020_529,2020,Strongly agree,Strongly agree,,
2020_530,2020,Somewhat agree,Somewhat agree,,
2020_531,2020,Somewhat agree,Somewhat disagree,,
2020_532,2020,,,,
2020_533,2020,Strongly agree,Strongly agree,,
2020_534,2020,Neither agree nor disagree,Somewhat agree,,
2020_535,2020,Neither agree nor disagree,Somewhat agree,,
2020_536,2020,Somewhat disagree,Neither agree nor disagree,,
2020_537,2020,Somewhat disagree,Somewhat disagree,,
2020_538,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_539,2020,Neither agree nor disagree,Strongly agree,,
2020_540,2020,Strongly disagree,Strongly disagree,,
2020_541,2020,Somewhat agree,Somewhat agree,,
2020_542,2020,Somewhat disagree,Neither agree nor disagree,,
2020_543,2020,Somewhat agree,Somewhat agree,,
2020_544,2020,Neither agree nor disagree,Strongly agree,,
2020_545,2020,Somewhat disagree,Neither agree nor disagree,,
2020_546,2020,Somewhat agree,Somewhat agree,,
2020_547,2020,Strongly disagree,Strongly disagree,,
2020_548,2020,Somewhat agree,Somewhat agree,,
2020_549,2020,Somewhat disagree,Somewhat agree,,
2020_550,2020,Somewhat disagree,Somewhat agree,,
2020_551,2020,Somewhat agree,Neither agree nor disagree,,
2020_552,2020,,,,
2020_553,2020,Strongly agree,Strongly agree,,
2020_554,2020,Strongly disagree,Strongly agree,,
2020_555,2020,Somewhat disagree,Strongly disagree,,
2020_556,2020,Strongly agree,Strongly agree,,
2020_557,2020,,,,
2020_558,2020,Strongly disagree,Somewhat disagree,,
2020_559,2020,,,,
2020_560,2020,Somewhat disagree,Somewhat agree,,
2020_561,2020,Strongly agree,Neither agree nor disagree,,
2020_562,2020,Strongly disagree,Somewhat disagree,,
2020_563,2020,Somewhat disagree,Strongly disagree,,
